=== SHEET: Sheet1 ===
 | Color Name | HEX | Tier | Group/Family | Emotion & Role | How to Use | Percent Guidance | Platform Fit | Regional Notes | Feature Tags | Text on This Color | Pairs Best With 1 | Pairs Best With 2 | Pairs Best With 3 | Best After Target Color | Best After HEX | Best After Text Rule | Best After Reason | Best Before Target Color | Best Before HEX | Best Before Text Rule | Best Before Reason | Sometimes After Target Color | Sometimes After HEX | Sometimes After Text Rule | Sometimes After Reason | Sometimes Before Target Color | Sometimes Before HEX | Sometimes Before Text Rule | Sometimes Before Reason | Never After Target Color | Never After HEX | Never After Text Rule | Never After Reason | Never Before Target Color | Never Before HEX | Never Before Text Rule | Never Before Reason | Raw Score | Reason Tag | Forbidden Flag
 | Gold | #F4C37D | 1 | Core Brand (Optimism) | Optimistic reframing; macro tailwinds, narrative highlights. | One highlight per slide — quotes, insight frames, timelines. | ≤30% accents/blocks | PDF • PPT • Gamma | Global-safe when sparse | Accent | Not for running text; use for small labels/icons only | Off White (Canvas) | Cobalt Blue | Slate Gray | Bone | #F9F6F0 | Charcoal | primes optimism with warm-neutral | ETF Yellow | #FFD89A | Charcoal | reframe validated by benchmark logic | Pale Mint | #C1E1C1 | Charcoal | primes optimism with soft-cta | Modal Fill Gray | #E9EDF2 | Charcoal | optimism → container continuity | Crimson | #D44D5C | White | hope → legal alarm collapses tone | Crimson | #D44D5C | White | hope → legal alarm collapses tone | — | — | —
 | ETF Yellow | #FFD89A | 2 | Structural / Data | Familiar benchmarking; frames comparisons and timing. | ETF vs BTC comparisons, macro overlays. | ≤30% accents/strips | All platforms | Safe in conservative decks | Panel/Overlay | Charcoal | Off White (Canvas) | Slate Gray | Bone | Modal Fill Gray | #E9EDF2 | Charcoal | primes benchmark with container | Cobalt Blue | #2B50AA | White | benchmark → logic continuity | Pale Mint | #C1E1C1 | Charcoal | primes benchmark with soft-cta | Modal Fill Gray | #E9EDF2 | Charcoal | benchmark → container continuity | Crimson | #D44D5C | White | abrupt escalation not aligned to tone | Crimson | #D44D5C | White | mismatch escalation | — | — | —
 | Amber | #E9B56C | 2 | Structural / Data | Timeline logic and sequence emphasis. | Timeline arrows, banners, cadence markers. | ≤20% accents | All | Global-safe warm muted | Accent | Not for running text; use for small labels/icons only | Off White (Canvas) | Cobalt Blue | Slate Gray | Bone | #F9F6F0 | Charcoal | primes timeline with warm-neutral | ETF Yellow | #FFD89A | Charcoal | timeline → benchmark | Pale Mint | #C1E1C1 | Charcoal | primes timeline with soft-cta | Modal Fill Gray | #E9EDF2 | Charcoal | timeline → container continuity | Crimson | #D44D5C | White | primes timeline with risk | Crimson | #D44D5C | White | mismatch caution | — | — | —
 | Light Mustard | #FFE082 | 3 | Behavioral & Emotional | Soft clarification; FAQs and educational follow-ups. | FAQ/clarifier slide backgrounds. | Up to 100% in low-stakes sections | Screen-friendly | Global-safe | Canvas | Charcoal | Off White (Canvas) | Cobalt Blue | Slate Gray | Bone | #F9F6F0 | Charcoal | primes clarify with warm-neutral | ETF Yellow | #FFD89A | Charcoal | clarify → benchmark | Pale Mint | #C1E1C1 | Charcoal | primes clarify with soft-cta | Modal Fill Gray | #E9EDF2 | Charcoal | clarify → container continuity | Crimson | #D44D5C | White | primes clarify with risk | Crimson | #D44D5C | White | mismatch caution | — | — | —
 | Dijon | #F4B400 | 3 | Behavioral & Emotional | Institutional cautionary emphasis without “red.” | Market inflection alerts, policy spotlights. | ≤15% strips/badges | PDF • PPT | Primarily Western contexts | Accent | Not for running text; use for small labels/icons only | Off White (Canvas) | Cobalt Blue | Slate Gray | Bone | #F9F6F0 | Charcoal | primes caution with warm-neutral | ETF Yellow | #FFD89A | Charcoal | caution → benchmark continuity | Pale Mint | #C1E1C1 | Charcoal | primes caution with soft-cta | Modal Fill Gray | #E9EDF2 | Charcoal | caution → container continuity | Crimson | #D44D5C | White | primes caution with risk | Crimson | #D44D5C | White | mismatch escalation | — | — | —
 | Deep Custody Green | #1C6357 | 2 | Structural / Data | Secure storage/process; calm trust. | Custody diagrams, signer flows, security visuals. | Panels 30–70% | All | Global-safe | Panel | White | Bone | Off White (Canvas) | Navy | Modal Fill Gray | #E9EDF2 | Charcoal | primes security with container | Navy | #0B2E4E | White | security → authority continuity | Pale Mint | #C1E1C1 | Charcoal | primes security with soft-cta | Modal Fill Gray | #E9EDF2 | Charcoal | security → container continuity | Coral Red | #FF6B6B | Charcoal | primes security with empathy-risk | Crimson | #D44D5C | White | security → risk dissonance | — | — | —
 | Sage Green | #B5C9A9 | 3 | Behavioral & Emotional | Long-term alignment; intergenerational calm. | Alignment/GP capital context, succession notes. | Up to 100% dedicated page | All | Strong across FO contexts | Panel/Overlay | Charcoal | Bone | Off White (Canvas) | Navy | Modal Fill Gray | #E9EDF2 | Charcoal | primes legacy-align with container | Navy | #0B2E4E | White | legacy-align → authority continuity | Pale Mint | #C1E1C1 | Charcoal | primes legacy-align with soft-cta | Modal Fill Gray | #E9EDF2 | Charcoal | legacy-align → container continuity | Coral Red | #FF6B6B | Charcoal | primes legacy-align with empathy-risk | Crimson | #D44D5C | White | legacy-align → risk | — | — | —
 | Forest Green | #228B22 | 2 | Structural / Data | Heritage continuity; stewardship and long horizon. | Legacy/continuity notes, provenance callouts. | ≤40% dedicated page | PDF/PPT | Strong in FO/legacy decks | Panel | White | Bone | Off White (Canvas) | Navy | Modal Fill Gray | #E9EDF2 | Charcoal | primes legacy with container | Navy | #0B2E4E | White | legacy calm → authority continuity | Pale Mint | #C1E1C1 | Charcoal | primes legacy with soft-cta | Modal Fill Gray | #E9EDF2 | Charcoal | legacy calm → container continuity | Coral Red | #FF6B6B | Charcoal | primes legacy with empathy-risk | Crimson | #D44D5C | White | legacy calm → risk dissonance | — | — | —
 | Pale Mint | #C1E1C1 | 3 | Behavioral & Emotional | Passive opt-in; low-pressure progress. | Watchlist/onboarding backgrounds. | Up to 100% follow-ups | All | Global-safe | Canvas • CTA | Charcoal | Off White (Canvas) | Navy | Slate Gray | Navy | #0B2E4E | White | CTA follows authority cleanly | Off White (Canvas) | #FAFAFA | Charcoal | primes soft-cta with canvas | Sage Green | #B5C9A9 | Charcoal | primes soft-cta with legacy-align | Modal Fill Gray | #E9EDF2 | Charcoal | soft-cta → container continuity | Crimson | #D44D5C | White | CTA → risk trap | Burnt Orange | #D2691E | White | CTA → urgency trap | — | — | —
 | Approval Green | #5CD0BE | 2 | Structural / Data | Safe confirmation; success/approved states. | Checkmarks, confirmation chips, tiny hover states. | Accents ≤10% | Gamma/Canva, PPT | Global-safe | Accent • CTA | Not for running text; labels/icons only | Off White (Canvas) | Navy | Slate Gray | Navy | #0B2E4E | White | primes confirm with authority | Off White (Canvas) | #FAFAFA | Charcoal | primes confirm with canvas | Pale Mint | #C1E1C1 | Charcoal | primes confirm with soft-cta | Modal Fill Gray | #E9EDF2 | Charcoal | confirm → container continuity | Crimson | #D44D5C | White | primes confirm with risk | Burnt Orange | #D2691E | White | confirm → urgency mismatch | — | — | —
 | Signal Blue | #3C61C5 | 1 | Core Brand | Data highlight; precise, energetic emphasis. | Secondary chart line, small metric highlights. | Accents ≤10% | All; screen & print safe | Global-safe | Accent | Not for running text | Off White (Canvas) | Slate Gray | Cobalt Blue | Modal Fill Gray | #E9EDF2 | Charcoal | neutral reset primes data | Slate Gray | #525C66 | White | data → structure clarity | Pale Mint | #C1E1C1 | Charcoal | primes data with soft-cta | Modal Fill Gray | #E9EDF2 | Charcoal | data → container continuity | Crimson | #D44D5C | White | abrupt escalation | Coral Red | #FF6B6B | Charcoal | mismatch escalation | — | — | —
 | Steel Blue | #5E7CA5 | 2 | Structural / Data | Analyst depth; reduces perceived volatility. | Secondary chart series, dense tables. | Panels 20–30% | All | Global-safe | Panel | White | Off White (Canvas) | Slate Gray | Cobalt Blue | Modal Fill Gray | #E9EDF2 | Charcoal | primes analysis with container | Slate Gray | #525C66 | White | analysis → structure continuity | Pale Mint | #C1E1C1 | Charcoal | primes analysis with soft-cta | Signal Blue | #3C61C5 | White | analysis → data-pop | Gold | #F4C37D | Charcoal | primes analysis with optimism | Crimson | #D44D5C | White | analysis → risk | — | — | —
 | Cadet Blue | #5F9EA0 | 2 | Structural / Data | Trusted progress; cool, steady narrative. | Macro diagrams, bar fills. | Panels ≤60%; accents ≤20% | All | Global-safe | Panel | White | Off White (Canvas) | Slate Gray | Cobalt Blue | Modal Fill Gray | #E9EDF2 | Charcoal | primes steady with container | Slate Gray | #525C66 | White | steady → structure continuity | Pale Mint | #C1E1C1 | Charcoal | primes steady with soft-cta | Signal Blue | #3C61C5 | White | steady → data-pop continuity | Gold | #F4C37D | Charcoal | primes steady with optimism | Crimson | #D44D5C | White | steady → risk mismatch | — | — | —
 | Denim | #1560BD | 2 | Structural / Data | Confident data pop without gloss. | Overlay lines, emphasis bars. | Accents ≤10%; small panels ≤20% | All | Global-safe | Panel | White | Off White (Canvas) | Slate Gray | Cobalt Blue | Modal Fill Gray | #E9EDF2 | Charcoal | primes highlight with container | Slate Gray | #525C66 | White | highlight → structure continuity | Pale Mint | #C1E1C1 | Charcoal | primes highlight with soft-cta | Signal Blue | #3C61C5 | White | highlight → data continuity | Gold | #F4C37D | Charcoal | highlight with optimism | Crimson | #D44D5C | White | highlight → risk clash | — | — | —
 | Slate Blue | #6A5ACD | 2 | Structural / Data | Analyst clarity in dense data. | Research appendices, attribution charts. | Panels ≤50% | All | Global-safe | Panel | White | Off White (Canvas) | Slate Gray | Cobalt Blue | Modal Fill Gray | #E9EDF2 | Charcoal | primes analysis with container | Slate Gray | #525C66 | White | analysis → structure continuity | Pale Mint | #C1E1C1 | Charcoal | primes analysis with soft-cta | Signal Blue | #3C61C5 | White | analysis → data-pop | Gold | #F4C37D | Charcoal | primes analysis with optimism | Crimson | #D44D5C | White | analysis → risk clash | — | — | —
 | Fog Purple | #E6E6FA | 3 | Behavioral & Emotional | Soft closure and no-pressure exits. | Closing/referral slides. | Full-slide exits | PDF/static best | Conservative decks | Canvas | Charcoal | Off White (Canvas) | Slate Gray | Bone | Modal Fill Gray | #E9EDF2 | Charcoal | primes soft-close with container | Slate Gray | #525C66 | White | closure → structure continuity | Pale Mint | #C1E1C1 | Charcoal | primes closure with soft-cta | Modal Fill Gray | #E9EDF2 | Charcoal | closure → container continuity | Crimson | #D44D5C | White | escalation clash | Gold | #F4C37D | Charcoal | optimism mismatch | — | — | —
 | Dusty Plum | #9B6A6C | 3 | Behavioral & Emotional | Cycle memory and lessons learned. | Post-mortems, trauma notes. | Background 1–2 slides | All | Global | Panel/Overlay | White | Off White (Canvas) | Slate Gray | Bone | Modal Fill Gray | #E9EDF2 | Charcoal | primes regret with container | Slate Gray | #525C66 | White | regret → structure continuity | Pale Mint | #C1E1C1 | Charcoal | primes regret with soft-cta | Modal Fill Gray | #E9EDF2 | Charcoal | regret → container continuity | Gold | #F4C37D | Charcoal | regret → optimism mismatch | Crimson | #D44D5C | White | regret → risk | — | — | —
 | Burnt Orange | #D2691E | 3 | Behavioral & Emotional | Scarcity and finality; closing window. | End-of-deck CTAs, capacity notes. | ≤20% banners/panels | PDF/PPT | Restrained in GCC/India | Panel/Overlay | White | Off White (Canvas) | Slate Gray | Bone | Modal Fill Gray | #E9EDF2 | Charcoal | primes urgency with container | Slate Gray | #525C66 | White | urgency → structure continuity | Pale Mint | #C1E1C1 | Charcoal | primes urgency with soft-cta | Modal Fill Gray | #E9EDF2 | Charcoal | urgency → container continuity | Gold | #F4C37D | Charcoal | urgency mismatch | Crimson | #D44D5C | White | urgency mismatch | — | — | —
 | Warm Clay | #DAA06D | 3 | Behavioral & Emotional | Post-skepticism re-engagement. | Narrative pivots, story slides. | Background for pivots | PPT/Canva | Use for nuance | Panel/Overlay | Charcoal | Off White (Canvas) | Slate Gray | Bone | Modal Fill Gray | #E9EDF2 | Charcoal | primes reengage with container | Slate Gray | #525C66 | White | reengage → structure continuity | Pale Mint | #C1E1C1 | Charcoal | primes reengage with soft-cta | Modal Fill Gray | #E9EDF2 | Charcoal | reengage → container continuity | Crimson | #D44D5C | White | clash escalation | Gold | #F4C37D | Charcoal | optimism mismatch | — | — | —
 | Institutional Orange | #F57C00 | 3 | Behavioral & Emotional | Deadline/critical date emphasis. | Labels/icons for cutoff dates. | ≤5% accents | PDF/PPT | Minimize in formal IC decks | Accent | Not for running text | Off White (Canvas) | Slate Gray | Bone | Modal Fill Gray | #E9EDF2 | Charcoal | primes deadline with container | Slate Gray | #525C66 | White | deadline → structure continuity | Pale Mint | #C1E1C1 | Charcoal | primes deadline with soft-cta | Modal Fill Gray | #E9EDF2 | Charcoal | deadline → container continuity | Gold | #F4C37D | Charcoal | deadline → optimism mismatch | Crimson | #D44D5C | White | deadline → risk escalation | — | — | —
 | French Blue | #0072BB | 3 | Behavioral & Emotional | Assertive calm; tactical energy for external highlights. | Outperformance lines, external roadshows. | One-off accents | Screen-strong | Avoid in GCC/India IC decks | Accent | Not for running text | Off White (Canvas) | Slate Gray | Bone | Modal Fill Gray | #E9EDF2 | Charcoal | primes assertive highlight with container | Slate Gray | #525C66 | White | assertive → structure continuity | Pale Mint | #C1E1C1 | Charcoal | primes assertive with soft-cta | Modal Fill Gray | #E9EDF2 | Charcoal | assertive → container continuity | Crimson | #D44D5C | White | escalation mismatch | Gold | #F4C37D | Charcoal | optimism mismatch | — | — | —
 | Royal Blue | #4169E1 | 3 | Behavioral & Emotional | Dynamic stat emphasis; brighter than core blues. | Underlines, key-stat typography. | Accents ≤10% | Screen-first | Global-safe | Accent | Not for running text | Off White (Canvas) | Slate Gray | Bone | Modal Fill Gray | #E9EDF2 | Charcoal | primes dynamic stat with container | Slate Gray | #525C66 | White | stat → structure continuity | Pale Mint | #C1E1C1 | Charcoal | primes stat with soft-cta | Modal Fill Gray | #E9EDF2 | Charcoal | stat → container continuity | Crimson | #D44D5C | White | escalation clash | Gold | #F4C37D | Charcoal | optimism mismatch | — | — | —
 | Blue Gray | #6699CC | 3 | Behavioral & Emotional | Passive structure with cool tint; adds depth. | Infographic fills, mobile cards. | Panels ≤40% | Gamma/Canva; print ok | Global-safe | Panel | White | Off White (Canvas) | Slate Gray | Bone | Modal Fill Gray | #E9EDF2 | Charcoal | primes passive struct with container | Slate Gray | #525C66 | White | structure continuity | Pale Mint | #C1E1C1 | Charcoal | primes passive with soft-cta | Modal Fill Gray | #E9EDF2 | Charcoal | passive → container continuity | Crimson | #D44D5C | White | escalation clash | Gold | #F4C37D | Charcoal | optimism mismatch | — | — | —
 | Light Slate Blue | #8470FF | 3 | Behavioral & Emotional | Soft interactive flourish; modern, calm accent. | Gamma transitions, light containers. | Containers ≤40% | Gamma/mobile | Western/casual decks | Panel | White | Off White (Canvas) | Slate Gray | Bone | Modal Fill Gray | #E9EDF2 | Charcoal | primes interactive flourish with container | Slate Gray | #525C66 | White | flourish → structure continuity | Pale Mint | #C1E1C1 | Charcoal | primes flourish with soft-cta | Modal Fill Gray | #E9EDF2 | Charcoal | flourish → container continuity | Crimson | #D44D5C | White | escalation clash | Gold | #F4C37D | Charcoal | optimism mismatch | — | — | —
 | Columbia Blue | #C4D8E2 | 3 | Behavioral & Emotional | Airy info-box backdrop; gentle aside tone. | Sidebars, summary notes. | Boxes 20–60% | Digital-first | Global-safe | Panel/Overlay | Charcoal | Off White (Canvas) | Slate Gray | Bone | Modal Fill Gray | #E9EDF2 | Charcoal | primes airy backdrop with container | Slate Gray | #525C66 | White | airy → structure continuity | Pale Mint | #C1E1C1 | Charcoal | primes airy with soft-cta | Modal Fill Gray | #E9EDF2 | Charcoal | airy → container continuity | Crimson | #D44D5C | White | escalation clash | Gold | #F4C37D | Charcoal | optimism mismatch | — | — | —
 | Pale Steel Blue | #A5B8CF | 3 | Behavioral & Emotional | Gentle quote/callout backdrop; adds pacing. | Pull quotes, key takeaways. | Panels ≤40% | Screen-first | Universal | Panel/Overlay | Charcoal | Off White (Canvas) | Slate Gray | Bone | Modal Fill Gray | #E9EDF2 | Charcoal | primes callout with container | Slate Gray | #525C66 | White | callout → structure continuity | Pale Mint | #C1E1C1 | Charcoal | primes callout with soft-cta | Modal Fill Gray | #E9EDF2 | Charcoal | callout → container continuity | Crimson | #D44D5C | White | escalation clash | Gold | #F4C37D | Charcoal | optimism mismatch | — | — | —
 | Ice Blue | #C5E8F5 | 3 | Behavioral & Emotional | Clarity and flow in diagrams/steps. | Flowchart steps, alternating fills. | Areas ≤50% | Digital excellent | Universal | Panel/Overlay | Charcoal | Off White (Canvas) | Slate Gray | Bone | Modal Fill Gray | #E9EDF2 | Charcoal | primes flow with container | Slate Gray | #525C66 | White | flow → structure continuity | Pale Mint | #C1E1C1 | Charcoal | primes flow with soft-cta | Modal Fill Gray | #E9EDF2 | Charcoal | flow → container continuity | Crimson | #D44D5C | White | escalation clash | Gold | #F4C37D | Charcoal | optimism mismatch | — | — | —
 | Glacier Blue | #E3F2FD | 3 | Behavioral & Emotional | Ultra-light cool canvas for large diagrams. | Org/structure diagrams. | Background up to 100% | PDF/print best | Universal | Canvas | Charcoal | Off White (Canvas) | Slate Gray | Bone | Modal Fill Gray | #E9EDF2 | Charcoal | primes diagram with container | Slate Gray | #525C66 | White | diagram → structure continuity | Pale Mint | #C1E1C1 | Charcoal | primes diagram with soft-cta | Modal Fill Gray | #E9EDF2 | Charcoal | diagram → container continuity | Crimson | #D44D5C | White | escalation clash | Gold | #F4C37D | Charcoal | optimism mismatch | — | — | —
 | Sky Blue | #3BAFDA | 3 | Behavioral & Emotional | Lively interactive accent; engagement prompt. | Gamma interactive boxes, quote containers. | Panels ≤40%; accents ≤10% | Gamma/Canva | Informal/referral contexts | Panel • CTA | White | Off White (Canvas) | Navy | Slate Gray | Navy | #0B2E4E | White | primes interactive CTA with authority | Off White (Canvas) | #FAFAFA | Charcoal | primes interactive CTA with canvas | Pale Mint | #C1E1C1 | Charcoal | primes interactive CTA with soft-cta | Modal Fill Gray | #E9EDF2 | Charcoal | CTA → container continuity | Crimson | #D44D5C | White | CTA → risk mismatch | Burnt Orange | #D2691E | White | CTA → urgency mismatch | — | — | —
 | Steel Orchid | #6E5D94 | 3 | Behavioral & Emotional | High-logic precision with distinctiveness. | Analytic headers, annotation labels. | Accents ≤15% | All | Universal | Panel/Overlay | White | Off White (Canvas) | Slate Gray | Cobalt Blue | Modal Fill Gray | #E9EDF2 | Charcoal | primes analytic with container | Slate Gray | #525C66 | White | analytic → structure continuity | Pale Mint | #C1E1C1 | Charcoal | primes analytic with soft-cta | Modal Fill Gray | #E9EDF2 | Charcoal | analytic → container continuity | Gold | #F4C37D | Charcoal | analytic → optimism mismatch | Crimson | #D44D5C | White | analytic → risk clash | — | — | —
 | Lavender Gray | #D8B7DD | 3 | Behavioral & Emotional | Academic pacing; soft, scholarly overlay tone. | Footnote overlays, academic sidebars. | Boxes/overlays ≤40% | PDF/PPT | Universal | Overlay | Charcoal | Off White (Canvas) | Slate Gray | Bone | Modal Fill Gray | #E9EDF2 | Charcoal | primes academic pacing with container | Slate Gray | #525C66 | White | overlay → structure continuity | Pale Mint | #C1E1C1 | Charcoal | primes overlay with soft-cta | Modal Fill Gray | #E9EDF2 | Charcoal | overlay → container continuity | Crimson | #D44D5C | White | escalation clash | Gold | #F4C37D | Charcoal | optimism mismatch | — | — | —
 | Warm Taupe | #D2B48C | 3 | Behavioral & Emotional | Legacy comfort; intergenerational trust. | FO/referral contexts; team/values slides. | Full section background | All; print-friendly | FO/legacy decks | Canvas | Charcoal | Bone | Off White (Canvas) | Navy | Modal Fill Gray | #E9EDF2 | Charcoal | primes legacy-warm with container | Navy | #0B2E4E | White | legacy-warm → authority continuity | Pale Mint | #C1E1C1 | Charcoal | primes legacy-warm with soft-cta | Modal Fill Gray | #E9EDF2 | Charcoal | legacy-warm → container continuity | Coral Red | #FF6B6B | Charcoal | legacy-warm → empathy-risk | Crimson | #D44D5C | White | legacy-warm → risk | — | — | —
